City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
583,The Valley,AI,82.26,broken clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
584,Palembang,ID,78.89,scattered clouds,-2.9167,104.7458,ASTON Palembang Hotel & Conference Center
588,Fare,PF,78.71,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
593,Charleston,US,79.02,clear sky,32.7766,-79.9309,The Mills House Wyndham Grand Hotel
595,Tebingtinggi,ID,76.78,overcast clouds,3.3285,99.1625,Hotel Malibou tebing tinggi
597,Dhidhdhoo,MV,80.65,scattered clouds,6.8833,73.1,Dhidhoo beach
598,Atambua,ID,85.06,clear sky,-9.1061,124.8925,Kost Alfa Flat
605,Ternate,ID,83.88,broken clouds,0.8,127.4,Sahid Bela Ternate Hotel
611,Yanam,IN,84.02,few clouds,16.7333,82.2167,The Regency Hotel
612,Meulaboh,ID,77.47,overcast clouds,4.1363,96.1285,Kost Pria
613,Longview,US,80.85,scattered clouds,32.5007,-94.7405,Homewood Suites by Hilton Longview
615,Kampot,KH,86.05,overcast clouds,10.6167,104.1833,Two Moons Hotel
621,Xixiang,CN,77.67,moderate rain,35.1628,112.865,Hongchang Rest House
625,Zhanaozen,KZ,79.59,clear sky,43.3,52.8,K.korabay 28A
629,Sanchor,IN,83.53,few clouds,24.7553,71.7722,Hotel Amar Palace & AC Restaurant
637,Jibuti,DJ,79.92,scattered clouds,11.5,42.5,Orchid Main Camp Goubet
645,Destin,US,85.96,clear sky,30.3935,-86.4958,Wingate by Wyndham Destin
649,Elat,IL,85.84,clear sky,29.5581,34.9482,Club Hotel Eilat
651,Pacora,PA,79.21,scattered clouds,9.0833,-79.2833,Residencia Los Años Dorados
655,Namatanai,PG,85.15,clear sky,-3.6667,152.4333,Seagulls Inn Namatani
657,Morant Bay,JM,80.22,broken clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
658,Alenquer,BR,81.03,overcast clouds,-1.9417,-54.7383,Detinha Hotel
659,Gwadar,PK,78.91,broken clouds,25.1216,62.3254,Sadaf Resort
663,Rodrigues Alves,BR,80.65,scattered clouds,-7.738,-72.6509,Pousada Aconchego
664,Dawei,MM,82.09,overcast clouds,14.0833,98.2,Hotel Dawei
665,Seminole,US,82.11,clear sky,28.7086,-81.2081,Ono Hot Dog Cart and Catering Lemonade and Shaved Hawaiian Ice
669,Mahon,ES,75.76,clear sky,39.8885,4.2658,ARTIEM Capri
672,Kupang,ID,86.81,clear sky,-10.1667,123.5833,Hotel On The Rock by Prasanthi
673,Dicabisagan,PH,82.15,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
677,Umm Lajj,SA,83.66,overcast clouds,25.0213,37.2685,Moon light Furnished Units
686,Hami,CN,78.19,clear sky,42.8,93.45,Laoyutang Resort
689,Muskegon,US,75.06,broken clouds,43.3,-86.1334,Timberline Estates
691,Pochutla,MX,76.82,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
