City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
146,Camopi,GF,2022-09-03 02:00:44,3.1655,-52.3158,72.68,92,23,3.02,few clouds
147,Pueblo Nuevo,MX,2022-09-03 01:56:23,23.3833,-105.3833,59.32,97,97,2.01,overcast clouds
148,Itarema,BR,2022-09-03 02:00:44,-2.9248,-39.9167,77.88,82,3,17.67,clear sky
149,East London,ZA,2022-09-03 02:00:44,-33.0153,27.9116,62.73,76,100,14.7,overcast clouds
150,Kodiak,US,2022-09-03 02:00:45,57.79,-152.4072,53.42,65,31,1.7,scattered clouds
151,Tsarychanka,UA,2022-09-03 02:00:45,48.937,34.4786,53.92,44,100,8.75,overcast clouds
152,Dingle,PH,2022-09-03 02:00:45,10.9995,122.6711,85.51,73,100,13.24,overcast clouds
153,Waddan,LY,2022-09-03 02:00:46,29.1614,16.139,76.35,55,0,4.36,clear sky
154,Santa Maria,BR,2022-09-03 02:00:46,-29.6842,-53.8069,51.31,92,11,4.25,few clouds
155,Cayenne,GF,2022-09-03 02:00:06,4.9333,-52.3333,78.84,83,20,3.44,few clouds
156,Irun,ES,2022-09-03 02:00:52,43.339,-1.7894,69.66,84,75,5.75,broken clouds
157,Moose Factory,CA,2022-09-03 02:00:52,51.2585,-80.6094,62.58,94,100,4.61,overcast clouds
158,Schluchtern,DE,2022-09-03 02:00:52,50.3489,9.5253,60.21,78,68,5.26,broken clouds
159,Castro,BR,2022-09-03 02:00:53,-24.7911,-50.0119,60.64,65,62,1.36,light rain
160,Bundaberg,AU,2022-09-03 02:00:53,-24.85,152.35,65.35,90,98,7.92,overcast clouds
161,Kahului,US,2022-09-03 02:00:10,20.8947,-156.47,81.84,85,57,10.0,broken clouds
162,Manokwari,ID,2022-09-03 02:00:54,-0.8667,134.0833,84.22,67,47,8.59,scattered clouds
163,Iracoubo,GF,2022-09-03 02:00:54,5.4802,-53.2011,79.48,84,100,12.28,overcast clouds
164,Teacapan,MX,2022-09-03 02:00:55,22.55,-105.75,82.89,78,100,4.5,overcast clouds
165,Sao Fidelis,BR,2022-09-03 01:56:24,-21.6461,-41.7469,63.27,91,0,0.76,clear sky
166,Schladming,AT,2022-09-03 02:00:55,47.3929,13.687,51.26,92,28,4.99,scattered clouds
167,Benavente,ES,2022-09-03 02:00:56,42.0025,-5.6783,56.93,80,0,6.98,clear sky
168,Garissa,KE,2022-09-03 02:00:56,-0.4536,39.6401,70.16,83,66,14.7,broken clouds
169,Kidal,ML,2022-09-03 02:00:23,18.4411,1.4078,85.95,44,14,3.65,few clouds
170,Capusu Mare,RO,2022-09-03 02:00:57,46.7833,23.3,55.53,97,100,1.36,overcast clouds
171,Pangody,RU,2022-09-03 02:00:57,65.85,74.4859,46.29,74,100,16.51,light rain
172,Tadine,NC,2022-09-03 02:00:58,-21.55,167.8833,74.34,70,84,13.69,broken clouds
173,Chaman,PK,2022-09-03 02:00:58,30.9236,66.4512,77.54,16,0,5.68,clear sky
174,Lata,PT,2022-09-03 02:01:59,40.1629,-8.3327,55.29,97,98,1.63,overcast clouds
175,Byron Bay,AU,2022-09-03 02:02:00,-28.65,153.6167,58.96,90,100,9.35,light rain
176,Guadalupe Y Calvo,MX,2022-09-03 02:02:00,26.1,-106.9667,57.09,96,100,2.06,overcast clouds
177,Hithadhoo,MV,2022-09-03 02:02:00,-0.6,73.0833,81.16,73,42,15.35,scattered clouds
178,Khandyga,RU,2022-09-03 02:02:00,62.6667,135.6,42.37,94,100,5.57,light rain
